title,company,location,requirements,link
Security Engineering Intern,Chegg Inc.,Anywhere,"Security Engineering Intern
Remote, United States

Your goal - to improve the education process and better the lives of students by helping to secure our products and services that help students get better grades.

Organization: Security

Information Security at Chegg provides a trusted experience for our students and protects our employees, systems and intellectual property.

Our Information Security team is composed of several roles from incident response to application security to risk management, each necessary to ensure the business can function effectively while minimizing risk.

Role: Security Engineering Internship

The Candidate Will Be Responsible For

Chegg is seeking an exceptional, passionate, collaborative Security Engineering intern to contribute to our security program.
• Reproducing security vulnerabilities discovered internally and reported to us by customers and researchers.
• Helping identify the root cause of security vulnerabilities in our codebase and collaborating with Engineering to resolve them.
• Assisting in carrying out incident response duties such as investigations and threat hunting.
• Documenting any identified security risks.

Opportunities
• Help secure a company that millions of students love
• Explore multiple career paths in information security
• 1:1 mentorship from our experienced team
• Guidance from executives in Chegg

Requirements
• Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder)
• Be able to work 40 hours per week
• Have a strong, demonstrable interest in Information Security
• Have a passion for understanding how software is built and how technologies work under the hood
• Ability to automate solutions to repeatable tasks
• Effectively work in a team environment as well as autonomously
• Strong critical thinking and analytical skills
What project will the intern work on?
The candidate will participate in the day to day tasks that the Information Security team carries out such as reproducing security vulnerabilities reported to externally and investigating potential security risks so they can get a feel for the many different facets our job entails. They will also work on a project - typically an internal tool that will help the team scale. The specifics of the project will be decided once we learn more about our intern’s skill set and interests. The breakdown of time will be roughly 60% project to 40% day to day tasks.

What skills will the intern gain?
• They will gain an understanding of the different types of roles on an information security team.
• They will gain an understanding of application security issues and how to find them, triage them and remediate them.
• They will gain an understanding of how and when to automate tasks.
This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/security-engineering-intern-at-chegg-inc-2419652799?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Computer Security Internship Program,Year Up,"Providence, RI","Are you interested in an entry-level computer security internship?

Year Up is a one-year, intensive program that provides young adults with hands-on skill development, corporate internships, an educational stipend, and coursework eligible for college credit.

The program consists of training in technical and professional skills, followed by a 6-month internship with a top company. Your internship may be at Prudential, JPMC, New York Life among other leading organizations in the New York area.

What will you gain?

Professional business and communication skills, interviewing and networking skills, resume building, ongoing support and guidance to help you launch your career.

In-depth classes include:

-Helpdesk/Desktop Support

-Cyber Security

-Investment Operations

-Project Management Support

-Quality Assurance

Get the skills and opportunity you need to launch your professional career.

90% of Year Up graduates are employed and/or enrolled in postsecondary education within 4 months of graduation. Employed graduates earn an average starting salary of $36,000 per year.

Year Up participants also receive a stipend.

Are you eligible?

You can apply to Year Up if you are:

-A high school graduate or GED recipient

-Eligible to work in the U.S.

-Available Monday-Friday for the full program year

-Highly motivated to learn technical and professional skills

-Have not obtained a bachelor's degree

When does the program start?

Classes begin in Winter 2021. Since applications are considered on a rolling basis, we encourage you to apply early",https://www.learn4good.com/jobs/providence/rhode-island/info_technology/264677843/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Security Analyst Apprentice,Year Up,"Providence, RI",,https://www.learn4good.com/jobs/providence/rhode-island/info_technology/264677843/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Security Internship Program,Year Up,"Lincoln, RI","Job Description

Are you interested in an entry-level cyber security role?

Year Up is a one-year, intensive program that provides young adults with hands-on skill development, corporate internships, an educational stipend, and coursework eligible for college credit.

The program consists of training in technical and professional skills, followed by a 6-month internship with a top company. Your internship may be at Prudential, JPMC, New York Life among other leading organizations in the New York area.

What will you gain?

Professional business and communication skills, interviewing and networking skills, resume building, ongoing support and guidance to help you launch your career.

In-depth classes include:

-Helpdesk/Desktop Support

-Cyber Security

-Investment Operations

-Project Management Support

-Quality Assurance

Get the skills and opportunity you need to launch your professional career.

90% of Year Up graduates are employed and/or enrolled in postsecondary education within 4 months of graduation. Employed graduates earn an average starting salary of $36,000 per year.

Year Up participants also receive a stipend.

Are you eligible?

You can apply to Year Up if you are:

-A high school graduate or GED recipient

-Eligible to work in the U.S.

-Available Monday-Friday for the full program year

-Highly motivated to learn technical and professional skills

-Have not obtained a bachelor's degree

When does the program start?

Classes begin in Winter 2021. Since applications are considered on a rolling basis, we encourage you to apply early",https://www.snagajob.com/jobs/591172366?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Product Security Engineer Intern,Facebook,"Providence, RI","• *Intro:**

Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.
• *Summary:**

Facebook is hiring a Security Engineering Intern for the Product Security Assessments and Analysis team. You will work with one of the best security teams in the world, making sure that the data we are trusted to protect is secured to the highest standard. The ideal candidate will share our passion for engineering solutions to complex security problems while minimizing friction and maximizing productivity. This position will begin in Summer 2021 and has opportunities in Menlo Park, CA, Seattle, WA or New York, NY.
• *Required Skills:**

1. Write code and develop systems to improve Facebook's security

2. Perform security assessments, working closely with development teams on identifying security issues in their code and finding solutions to provide required functionality securely

3. Interact directly with the security community regarding potential vulnerabilities and threats as part of our Whitehat Bug Bounty program

4. Address sensitive content issues, including but not limited to graphic images, videos and writings, offensive or derogatory language, and other objectionable material
• *Minimum Qualifications:**

5. Pursuing a degree (Bachelors, Masters or PhD) in Computer Science or a related field

6. Enthusiasm for searching for potential weaknesses and then crafting creative solutions to eliminate them

7. Solid understanding of common web application and/or mobile security issues

8. Excellent communication abilities

9. Familiarity with an interpreted programming language (PHP, Python, Perl, Ruby, etc)

10. Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment

11. Must be currently enrolled in a full-time degree program and returning to the program after the completion of the internship/co-op
• *Preferred Qualifications:**

12. Contributions to the security community are a huge plus (public research, blogging, presentations, bug bounty participation, etc)
• *Industry:** Internet
• *Equal Opportunity:** Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com",https://www.mendeley.com/careers/job/product-security-engineer-intern-3237536?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Security Analyst Intern,EngageSmart,"Braintree, MA","Job Description

At EngageSmart, we are experts at simplifying engagement. Through our business units we operate across multiple industries, improving customer experiences with our SaaS software platforms. We live our values, right down to our organizational structure. At EngageSmart, we put the people who are most crucial to our ongoing success, our customers, first. Our senior management is at the bottom of our organization, but their higher purpose of giving back and spirit of fun bubbles up throughout our organization. Our business units include: DonorDrive, the fundraising platform that turns everyday people into powerful fundraisers for your cause; HealthPay24, the patient payment platform that's better for everyone; Invoice Cloud, SaaS solutions that simplify e-billing and digital payments resulting in the highest e-adoption; IVR Technology Group, voice and text automation that delights your customers; and SimplePractice, the practice management platform for health and wellness professionals.

As a company that values diversity, equity, and inclusion, EngageSmart seeks individuals of all backgrounds and experiences to apply for this position. We're creating an environment where everyone can thrive. Our customers are diverse, so we're building a team that is too. Through initiatives like our employee resource groups we are building the cultural foundation that gives people the emotional and physical space to bring their authentic selves to work.

This is a US based remote internship opportunity.

Engagesmart's business units operate within highly secure and regulated industries. As such, various state, federal, and international regulatory security requirements can be applicable within the enterprise. The Security Team, within the Corporate Technology Services department, is responsible for setting the posture for supporting, harmonizing, and driving execution of various security projects and initiatives supported or overseen by EngageSmart across all business units.

The Security Analyst Intern will use their knowledge, skills, and acumen to assist the EngageSmart Director of Security, CTO, and corporate counsel, as well as other stakeholders to advance various security initiatives including, but not be limited to:
• Vendor risk management
• Security process implementation, monitoring, automation, and testing;
• Security risk analysis
• Innovative information security training
• Security alert monitoring and analysis
• Special projects, as identified

You will work with a great team of professionals who will provide you the guidance and support you will need to be successful in our shared goal of supporting our internal stakeholders and external customers to meet today's complex security requirements. Our team will assist you in growing your skills and expanding your knowledge of security in real-world business situations.

What you will do:
• Assist in development and implementation of vendor tracking and risk assessment process
• Assist in development and implementation of business continuity and disaster recovery planning and testing
• Assist with the development, review, and maintenance of enterprise and business unit policies
• Assess enterprise and business unit operations to determine security risk
• Monitor, analyze, and report on security alerts/threats that are occurring within the enterprise
• Assist in the development and delivery of innovative training and training content on a variety of security-related topics
• Assist in various special projects (e.g. SOC audits, PCI compliance audits, etc.)

What We Seek:
• Third year information systems student, or BA from accredited universities
• Experience in cybersecurity best practices, corporate security, data protection regulation, risk management, public cloud environments, scripting/automation
• Experience fielding questions from stakeholders and providing timely and comprehensive responses
• Ability to gain comprehension quickly
• Creative problem solver with strong attention to detail
• Excellent written and verbal communication skills

EngageSmart is an Equal Opportunity Employer. 

EngageSmart provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. 

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training. 

If you have a disability under the Americans with Disabilities Act or similar law, or you require a religious accommodation, and you wish to discuss potential accommodations related to applying for employment at our company, please contact jobs@engagesmart.com.

To all recruitment agencies: EngageSmart does not accept agency resumes. Please do not forward resumes to our job's alias, employees, or any other organization location. EngageSmart is not responsible for any fees related to unsolicited resumes","https://www.ziprecruiter.com/c/EngageSmart/Job/Security-Analyst-Intern/-in-Braintree,MA?jid=b01c738f743345b9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
SAP NS2 Information Systems Security Engineer Intern - Virtual,Sap,Anywhere,"SAP is the global market leader for business software and related services, and SAP National Security Services Inc. (SAP NS2 ) is an independent U.S. subsidiary, offering SAP solutions with specialized levels of security and support to meet the requirements of U.S. national security and critical infrastructure customers.

Must be a U.S. Person; NS2 does not offer Visa sponsorship for this role

All internals must have manager's approval to transfer.

Seeking conscientious individual who has a strong desire to learn and contribute in a fast paced, growing environment.

Responsibilities include:

- Exposure to or basic knowledge of various technologies used by security, development, and operations

- Documents and executes security activities regarding monitoring, availability, and vulnerability management.

- Ensure excellent quality and maintain high standards in all process listed in the relevant process maps. Adheres to standards and procedures.

- Troubleshoots information systems accessibility, availability or operability problems to identify and mitigate errors or deficiencies and develop solutions. Basic analytical, problem solving skills.

- Ensures that appropriate information security is applied in all tasks",https://www.zippia.com/warwick-ri-jobs/information-systems-internship-dlp/?27de94cae8c186937c8fa8153b91ee0ef010e6af&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Security Internship Program,Year Up,"Cranston, RI","Job Description

Are you interested in an entry-level cyber security role?

Year Up is a one-year, intensive program that provides young adults with hands-on skill development, corporate internships, an educational stipend, and coursework eligible for college credit.

The program consists of training in technical and professional skills, followed by a 6-month internship with a top company. Your internship may be at Prudential, JPMC, New York Life among other leading organizations in the New York area.

What will you gain?

Professional business and communication skills, interviewing and networking skills, resume building, ongoing support and guidance to help you launch your career.

In-depth classes include:

-Helpdesk/Desktop Support

-Cyber Security

-Investment Operations

-Project Management Support

-Quality Assurance

Get the skills and opportunity you need to launch your professional career.

90% of Year Up graduates are employed and/or enrolled in postsecondary education within 4 months of graduation. Employed graduates earn an average starting salary of $36,000 per year.

Year Up participants also receive a stipend.

Are you eligible?

You can apply to Year Up if you are:

-A high school graduate or GED recipient

-Eligible to work in the U.S.

-Available Monday-Friday for the full program year

-Highly motivated to learn technical and professional skills

-Have not obtained a bachelor's degree

When does the program start?

Classes begin in Winter 2021. Since applications are considered on a rolling basis, we encourage you to apply early",https://www.snagajob.com/jobs/591172462?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Security Internship (Undergraduate),CVS Health,"Hartford, CT","Job Description
Start date: June 7th, 2021
End Date: August 13th, 2021
Location: To ensure the health and safety of our colleagues, this position will be work-at-home.

CVS Health is the nation's premier health innovation company helping people on their path to better health. We are building a new health care model that is easier to use, less expensive, and puts the consumer at the center of their care. Our Corporate Internship Program is a nationally recognized experience; it is also a great way to gain confidence, sharpen your skills, and make a difference.

You will gain valuable work experience and participate in:
• Projects that contribute to the success of our business
• Community service initiatives
• Mentorship and networking opportunities
• Interaction with senior leaders
And our corporate interns have an increased likelihood to receive an offer for a future role with CVS Health.

As a member of Global Security, you will experience working in an environment that is fast-paced and be given the opportunity to understand how we manage information security risk. During the internship, you'll work with teams to deliver leading-edge information security controls and capabilities across the enterprise. Opportunities are available in functions such as third party risk governance, security architecture, risk management, identity & access management, software security, vulnerability management, fraud detection, and more!

Required Qualifications
• Strong verbal and written communication skills
• Demonstrated leadership ability
• Demonstrated self-started
• Critical thinking
• Desire to learn

Preferred Qualifications
• Have a willingness to relocate
• Be able to work in a fast-paced environment and meet tight deadlines
• Possess strong analytical and problem resolution skills
• Be able to communicate effectively with a diverse audience
• Encourage teamwork and a positive environment to improve team effectiveness
• Be resourceful and can quickly and successfully adapt to change
• Have an interest in obtaining full-time position within CVS Health

Education
• You should currently be pursuing a Bachelors degree
• Have an anticipated graduation date between September 2021 and August 2022
• Have a majors/concentration in Cyber Security, IT, Business IT, or related field
• Have a 3.0 + cumulative GPA

Business Overview
At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.

We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, sex/gender, sexual orientation, gender identity or expression, age, disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities",https://jobs.cvshealth.com/ShowJob/JobId/992386/Cyber-Security-Internship-Undergraduate?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
MDP Cyber Security Intern Job,"BJ's Wholesale Club, Inc.","Westborough, MA","BJ's Wholesale Club was the first retailer to introduce the warehouse club concept in the northeastern United States. Today, we’re a multibillion dollar operation with more than 200 clubs in 17 states from Maine to Florida.

While our Members know us for helping them save up to 25% off grocery prices every day, our Team Members love us for providing a supportive and engaging workplace that’s committed to developing great talent.

If you’re a motivated and enthusiastic person who enjoys working collaboratively and is committed to providing great service for our Members, we want to hear from you. BJ’s offers a fast-paced, team environment with great training opportunities and competitive salary and benefits packages to help you succeed.

At BJs Wholesale Club, we offer a 12-week summer internship experience through our Management Development Program. The MDP internship offers competitive pay and is built on three tenants: day-to-day exposure to a specific team, a strategic business solution project presented to our executive team, and personal and professional development through various development workshops and team building activities. As an intern you will work with your manager as well as many other leaders in the department and assigned a mentor that will help you navigate day to day operations. Throughout the program you will gain entry level role experience, visibility to our executives through IKE sessions as well as coffee with our CEO and work directly on business critical issues. After successful completion of the program, you will have the opportunity to transition into a permanent role.:

Responsibilities:
• Engage in IT Risk and Compliance activities including controls testing and monitoring.
• Work on developing proactive configuration audits across network and security gear; implement process into policy and standards documentation.
• Identify and propose automation opportunities across IT Risk and Compliance.
• Annual Third-Party Risk Assessments – facilitate collecting and reviewing updated documentation on existing vendors.

Requirements:
• GPA of 3.4 or above
• Preferred major: Cyber Security
• Graduation year: Junior, Senior, Grad
• competencies and experience designated by the business.
• Leadership experience in programs, projects, clubs-preferred
• General scripting and XML, familiar with NIST/CIS Benchmarks

BJ's Wholesale Club is committed to a policy of equal employment opportunity for all qualified team members and applicants for employment without regard to race, religion, color, sex, sexual orientation, age, ancestry, national origin, physical and/or mental disability, genetic information, atypical cellular or blood trait, marital and/or familial status, pregnancy, gender identity and expression, military or veteran status, or any other characteristics protected by applicable law",https://careers.bjs.com/job/Westborough-Home-Office-MDP-Cyber-Security-Intern-Job-MA-01581/717019100/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
