title,company,location,requirements,link
Intern – Quality Assurance Associate,Pearson - 3.7,"Providence, RI","Intern – Quality Assurance Associate Job at Pearson – 3.7 Providence, RI

Description

PEARSON INTERNSHIP PROGRAM

Intern –Associate Quality Assurance – Global Product – Production & Digital Studio

Pearson Interns – Helping shape the future of education

Why join Pearson’s intern program?

Pearson is the world’s learning company. We help people of all ages acquire the knowledge and skills they need to be successful in their work and careers. We believe that everyone should be able to keep learning, every day and in every way, throughout their lives. Bringing together everything we know about the science of learning and the latest technology, we’re shaping the future of teaching and learning.

We’re looking for the next generation of talented undergraduates to join our team for a 10-week internship. An internship at Pearson is an opportunity to bring your own unique perspective as a learner, together with your academic knowledge, technical skills, and enthusiasm, to help create products used by students like you.

As one of our interns, you will gain a comprehensive introduction to our business. You’ll be assigned to a team and work on real-life projects that bring our products and services to life. On the job training and professional development will be provided to enable you to contribute to the business. You’ll also have direct access to a senior member of the team, as each intern will be mentored to help you make the most of the ten-week program.

We foster a work environment that’s inclusive as well as diverse, where our people can be themselves. Every idea and perspective is valued so that our products reflect the people we serve — our teachers and learners.

What Does the Internship Program Offer?

Successful candidates will spend 10 weeks working within our Production & Digital Studio teams.

You will be paid for the duration of your internship. The internship begins on Monday, June 7th and ends Friday, August 13th.

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Job description

Develop UAT plan for Pearson products and execute UAT on current product line to inform next generation products

Work with QA and Production teams to develop comprehensive test plans based on product and courseware requirements, for both general and project-specific use, for all Higher Education Products.

Assist team in coordinating with production and product teams to ensure requirements are testable.

Execute test plans and generate reports of results including use of automated testing tools as necessary.

Record Production and vendor problems and concerns in an established tracking system.

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications

Qualifications

What are we looking for in an Intern

Strong communication skills, including writing, with the ability to engage a variety of individuals and groups to achieve clarity

QA or developing related experience – preferred in school project or related work.

Knowledge of bug tracking software such as JIRA, Mantis and Bugzilla a plus.

Ability to handle high pressure situations and prioritize multiple projects as they are assigned required.

Ability to focus on and manage deadlines and deliverables.

Attention to detail and suitability to a target audience

An organized team player who can manage multiple tasks, take initiative and achieve results

Familiarity with Microsoft applications, including Word, PowerPoint, Excel, Outlook etc. and an interest in technology

Graduation date between 2021 and 2023

Primary Location : US-RE-Remote

Work Locations :
US-Remote

Remote

Job : Project/Temporary Workforce

Organization : Global Product

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Job Posting : Apr 7, 2021

Job Unposting : Apr 12, 2021

Schedule: : Full-time Temporary

Req ID: 2105067

About the Company

Company: Pearson – 3.7

Company Location: Providence, RI

Estimated Salary",https://qajobshub.com/job/intern-quality-assurance-associate/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Quality Assurance Intern,WEX,"Providence, RI","WEX Inc. (NYSE: WEX) provides B2B payment processing and information management solutions. From our roots in fleet card payments beginning in 1983, we have expanded the scope of our business to a multi-channel provider of corporate payment solutions in fleet, virtual travel, and healthcare markets.

Our innovative technology, payment, and data solutions are working to enable our customers and business partners to focus on what they do best: achieve their business growth objectives.
WEX is more than just a corporate payment processing company and a job. We are an agile and innovative technology community, where our curious and collaborative people look to bring the future of commerce to the present.
• OUR PROGRAM*:

The WEX Internship Program offers a robust experience for ambitious and curious students, who are interested in growing professionally and developing their skills to become the next generation of technology leaders.
Our internship program is designed to provide interns hands-on, practical experiences while working alongside some of our industry's smartest teams; as well as providing immediate value to their teams and our leaders.
As an intern, you will be challenged and offered the opportunity to make an impact across the business and be involved in the company's most critical business decisions.
• THIS IS A REMOTE POSITION*
• WHAT YOU WILL BE DOING IN THIS ROLE*:

- Learn and create test automation scripts with Python, Go, Java or C#, Cucumber and Selenium.
- Reading/understanding specific business processes and user requirements to gain knowledge of a business operation and how users use the application on a daily basis. From that, devising testing scenarios for positive and negative conditions.
- Executing test cases to test functionality and to identify any anomalies. Documenting and reporting those defects in JIRA.
- Meetings with the development teams to understand how defects are resolved and then retesting the fix.
- Writing a formal test plan, including test objectives, prerequisites, test steps, and expected results.
- Participating in and helping with other SQA tasks as necessary.
• YOU SHOULD ALSO EXPECT*:

- A collaborative and challenging working environment
- The opportunity to engage with various stakeholders across the business and senior leadership teams
- To train and develop your skills in your area of work with some of the best experts in the payment industry",https://www.jobs4millennials.com/Providence-Rhode-Island-USA-job/QUALITY-ASSURANCE-INTERN/236436f4a26bf4b1/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Quality Assurance Intern,WEX,"Pawtucket, RI","WEX Inc. (NYSE: WEX) provides B2B payment processing and information management solutions. From our roots in fleet card payments beginning in 1983, we have expanded the scope of our business to a multi-channel provider of corporate payment solutions in fleet, virtual travel, and healthcare markets.

Our innovative technology, payment, and data solutions are working to enable our customers and business partners to focus on what they do best: achieve their business growth objectives.
WEX is more than just a corporate payment processing company and a job. We are an agile and innovative technology community, where our curious and collaborative people look to bring the future of commerce to the present.
• OUR PROGRAM*:

The WEX Internship Program offers a robust experience for ambitious and curious students, who are interested in growing professionally and developing their skills to become the next generation of technology leaders.
Our internship program is designed to provide interns hands-on, practical experiences while working alongside some of our industry's smartest teams; as well as providing immediate value to their teams and our leaders.
As an intern, you will be challenged and offered the opportunity to make an impact across the business and be involved in the company's most critical business decisions.
• THIS IS A REMOTE POSITION*
• WHAT YOU WILL BE DOING IN THIS ROLE*:

- Learn and create test automation scripts with Python, Go, Java or C#, Cucumber and Selenium.
- Reading/understanding specific business processes and user requirements to gain knowledge of a business operation and how users use the application on a daily basis. From that, devising testing scenarios for positive and negative conditions.
- Executing test cases to test functionality and to identify any anomalies. Documenting and reporting those defects in JIRA.
- Meetings with the development teams to understand how defects are resolved and then retesting the fix.
- Writing a formal test plan, including test objectives, prerequisites, test steps, and expected results.
- Participating in and helping with other SQA tasks as necessary.
• YOU SHOULD ALSO EXPECT*:

- A collaborative and challenging working environment
- The opportunity to engage with various stakeholders across the business and senior leadership teams
- To train and develop your skills in your area of work with some of the best experts in the payment industry",https://www.genzjobsearch.com/Pawtucket-Rhode-Island-USA-job/QUALITY-ASSURANCE-INTERN/7c8cc63b055c9eda/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Supplier Quality Assurance Intern,CooperSurgical,"Trumbull, CT (+1 other)","The Summer Intern program at CooperSurgical provides college students with the opportunity to participate in meaningful projects that contribute to the overall business unit objectives. In this role the student will have the opportunity to work directly with suppliers and the Global CooperSurgical Manufacturing sites. In addition to the assigned projects, Interns are given the opportunity to participate in activities that encourage networking with peers, managers, and employees.

Essential Functions
• Performs routine tests on materials, goods in process, or finished goods as required to support quality assurance activities.
• Works with production, engineering and quality engineering.
• Maintains quality assurance records for facility.
• Performs other related duties as assigned.

Scope
• The Supplier Quality Assurance intern will support the quality assurance department including support for quality auditing and maintenance of quality records. The intern position will interact directly with manufacturing and engineering departments, as well as key CooperSurgical suppliers and will provide support to the global Cooper Surgical sites as requested.

Knowledge, Skills and Abilities
• Intermediate skill in the use of Excel, Word and PowerPoint. Advanced preferred.
• Well organized with attention to detail and ability to carry out tasks independently.
• Excellent project management, organizational and follow-through skill set
• Strong communication and interpersonal skills
• Professional demeanor

Experience
• Not required, but prior Internship experience is a plus.

Education
• Current college student, majoring in a scientific or engineering industry, entering their Junior or Senior year.
• Completed course work in manufacturing, laboratory, etc.
• Minimum 3.0 GPA.

Back Share
Apply Now","https://www.glassdoor.com/job-listing/supplier-quality-assurance-intern-coopersurgical-JV_IC1148358_KO0,33_KE34,48.htm?jl=4028223256&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Quality Assurance Engineer,CooperSurgical,"Trumbull, CT (+1 other)",,"https://www.glassdoor.com/job-listing/supplier-quality-assurance-intern-coopersurgical-JV_IC1148358_KO0,33_KE34,48.htm?jl=4028223256&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Quality Assurance Intern,CooperSurgical,"Rocky Hill, CT",,https://www.linkedin.com/jobs/view/quality-assurance-intern-at-coopersurgical-2431162553?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer Intern - PVD,Mojotech,"Providence, RI (+1 other)","MojoTech started as an engineering-only firm in 2008 and it remains the foundation of who we are. Our team includes former lead engineers of successful startups as well as scientists from NASA and the U.S. Navy. We continually build upon this base of experience and technical expertise through intensive training and mentorship. By pairing our software engineers with exceptional designers and project managers, we've created Mojos; teams that transform complex business problems into elegant solutions. What will you work on? Internship projects vary, but they may include things like working on self-contained projects, experimenting with new technologies, contributing toward open source projects, or internal tooling for MojoTech. At MojoTech, some of the facets of software engineering you will experience are: Software design/discovery Writing quality software Code review: learn how to give and receive feedback from a team that places a premium on the value of code reviews Software testing best practices/QA UI implementation Product management What are the requirements? Curiosity Currently a college student, preferably a current 3rd year. CS coursework/programming experience Ability to work in the US, specifically Providence, RI Remote internship is a strong possibility given the state of the world, but we are looking for someone with an interest in Providence for the longer term. What are the benefits? Real world experience learning how professional software companies build products Training & mentorship from our senior engineers Competitive salary #LI-DNI Apply for This Job",https://us.fidanto.com/jobs/job-opening/software-quality-assurance-engineers-and-testers/software-engineer-intern-pvd-261007331?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Software & QA Engineer,NetApp,"Waltham, MA","Job Summary

In a world full of generalists, NetApp is a specialist. We’re focused on one thing, helping your business get the most out of your data. NetApp brings the enterprise-grade data services you rely on into the cloud, and the simple flexibility of cloud into the data center. Our industry-leading solutions work across diverse customer environments and the world’s biggest public clouds.

As a cloud-led, data-centric software company, only NetApp can help build your unique data fabric, simplify and connect your cloud, and securely deliver the right data, services and applications to the right people—anytime, anywhere.

NetApp’s two business units develop the company’s portfolio of offerings to help customers modernize their IT environment and harness the power of private and public clouds.

Public Cloud Services delivers modern data management applications and services that help customers leverage public and multi-cloud solutions. Foundational Data Services delivers on-premises solutions to help customers modernize and simplify their IT infrastructure. This group drives the direction for AFF/FAS (ONTAP), E-Series, & StorageGRID and the adoption of new customer consumption models.

We invest heavily in new talent. Your energy and fresh ideas are vital to cementing our position as a market-leader. We’ll push you beyond your comfort zone with a belief that no idea is off limits. At the same time, you’ll have all the resources, mentoring and feedback you need to grow. What’s more, whatever your role, you can be yourself in a team that celebrates individuality and welcomes different perspectives.

Job Requirements

As a Software Engineer Intern you would participate in product design, development, verification, troubleshooting, and delivery of a system or major subsystems. This position requires an individual to be creative, team-oriented, technology savvy, driven to produce results and demonstrates the ability to take a cross-team leadership role.

Experience with multiple programming languages is a benefit but there is also room to improve your skills.
Most entry-level engineers have a level of proficiency in: C, C++, Java and/or Python
Projects, experiences, or coursework related to areas such as: Operating Systems, Computer Architecture, Multi-Threading, Data Structures & Algorithms
Proven aptitude for learning new technologies
Creative and analytical approach problem solving skills
Strong oral and written communication is necessary for success
Ability to work on a diverse team or with a diverse range of people.
Experience

Must be enrolled in an educational or professional program through summer 2021 or later.

Equal Opportunity Employer Minorities/Women/Vets/Disabled","https://www.glassdoor.com/job-listing/intern-software-qa-engineer-netapp-JV_IC1154703_KO0,27_KE28,34.htm?jl=3695048191&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
NJ Transit 2021 Summer Quality Assurance Intern,New Jersey Transit,"Newark, NJ","NJ Transit 2021 Summer Internship

Seeking Quality Assurance Intern

At NJ Transit, we believe innovation starts with our customers. We are the third-largest transportation agency in North America and fully committed to delivering safe and reliable services that can get customers to their desired destinations on time. This tactic has driven our success in developing real-world solutions that affect many individuals lives every day. We are looking to hire talented students for our Summer Internship Program who can help initiate our solution-based business model to the next level. As an intern at NJ Transit, you will oversee projects from concepts to completion. Our interns step away from the regular sitting at the desk to having the opportunity at hands-on experience with several other business units within NJ Transit. Our ideal candidate is passionate about learning and using creative solutions to make an impact on the lives of others every day.

Objective of this role :
• Performs inspections, audits and surveillance to assure that maintenance procedures are being followed
• Researched and coordinates the development of standard operating procedures and work methods, and monitors maintenance of same
• Develops and prepares reports indicating results of inspection activity, as well as trend analysis and evaluation reports

Skills and Qualifications:
• Working towards a degree in Auto Diesel and Mechanical Engineer (Freshman, Sophomore, and Junior)
• Knowledge in the interpretation of electrical/mechanical schematics and the application of performance specification
• Other job responsibilities as required

When applying please complete the entire application; any incomplete applications will not be considered. Also, please upload your resume and cover letter to be considered when applying.
Hourly Rate: $12-$22

To apply click here:

https://njtransit.secure.force.com/FCMS__CMSLayout?jobIds=a295x000007lewv&page=CorporateDetailPage&sessionId=&JobSite=Default&p=Candidate&ApplPage=Corporate

Move forward with us at NJ Transit!
FORBES LIST OF AMERICA’S BEST EMPLOYERS 2018

New Jersey Transit is an Equal Opportunity Employer",https://careers.nspe.org/jobs/14288383/nj-transit-2021-summer-quality-assurance-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Quality Assurance Intern,WEX,"Warwick, RI","WEX Inc. (NYSE: WEX) provides B2B payment processing and information management solutions. From our roots in fleet card payments beginning in 1983, we have expanded the scope of our business to a multi-channel provider of corporate payment solutions in fleet, virtual travel, and healthcare markets.

Our innovative technology, payment, and data solutions are working to enable our customers and business partners to focus on what they do best: achieve their business growth objectives.
WEX is more than just a corporate payment processing company and a job. We are an agile and innovative technology community, where our curious and collaborative people look to bring the future of commerce to the present.
• *OUR PROGRAM**:

The WEX Internship Program offers a robust experience for ambitious and curious students, who are interested in growing professionally and developing their skills to become the next generation of technology leaders.
Our internship program is designed to provide interns hands-on, practical experiences while working alongside some of our industry's smartest teams; as well as providing immediate value to their teams and our leaders.
As an intern, you will be challenged and offered the opportunity to make an impact across the business and be involved in the company's most critical business decisions.
• THIS IS A REMOTE POSITION*
• *WHAT YOU WILL BE DOING IN THIS ROLE**:

- Learn and create test automation scripts with Python, Go, Java or C#, Cucumber and Selenium.
- Reading/understanding specific business processes and user requirements to gain knowledge of a business operation and how users use the application on a daily basis. From that, devising testing scenarios for positive and negative conditions.
- Executing test cases to test functionality and to identify any anomalies. Documenting and reporting those defects in JIRA.
- Meetings with the development teams to understand how defects are resolved and then retesting the fix.
- Writing a formal test plan, including test objectives, prerequisites, test steps, and expected results.
- Participating in and helping with other SQA tasks as necessary.
• *YOU SHOULD ALSO EXPECT**:

- A collaborative and challenging working environment
- The opportunity to engage with various stakeholders across the business and senior leadership teams
- To train and develop your skills in your area of work with some of the best experts in the payment industry",https://b-jobz.com/us/web/jobposting/189120856?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
